studyName,"Date GMT",Island,Colony,"Breeding Pairs"
PAL9394,1993-11-29,CHR,1.0,202
PAL9394,1993-11-29,CHR,2.0,63
PAL9394,1993-11-29,CHR,3.0,137
PAL9394,1993-11-29,CHR,3.1,0
PAL9394,1993-11-29,CHR,4.1,21
PAL9394,1993-11-29,CHR,4.2,0
PAL9394,1993-11-29,CHR,5.0,33
PAL9394,1993-11-29,CHR,6.0,107
PAL9394,1993-11-29,CHR,7.0,323
PAL9394,1993-11-29,CHR,7.1,21
PAL9394,1993-11-29,CHR,7.2,65
PAL9394,1993-11-29,CHR,8.0,156
PAL9394,1993-11-29,CHR,9.1,32
PAL9394,1993-11-29,CHR,10.0,9
PAL9394,1993-11-29,COR,1.0,6
PAL9394,1993-11-29,COR,2.0,86
PAL9394,1993-11-29,COR,3.0,34
PAL9394,1993-11-29,COR,4.0,19
PAL9394,1993-11-29,COR,5.0,285
PAL9394,1993-11-29,COR,5.1,138
PAL9394,1993-11-29,COR,6.0,93
PAL9394,1993-11-29,LIT,1.0,17
PAL9394,1993-11-29,LIT,2.0,26
PAL9394,1993-11-29,LIT,3.0,3
PAL9394,1993-11-29,LIT,4.0,25
PAL9394,1993-11-29,LIT,5.0,85
PAL9394,1993-11-29,LIT,6.0,118
PAL9394,1993-11-29,LIT,7.0,65
PAL9394,1993-11-29,LIT,8.0,124
PAL9394,1993-11-29,LIT,9.0,22
PAL9495,1994-11-29,TOR,1.0,123
PAL9495,1994-11-29,TOR,2.0,44
PAL9495,1994-11-29,TOR,3.0,22
PAL9495,1994-11-29,TOR,4.0,250
PAL9495,1994-11-29,TOR,5.0,123
PAL9495,1994-11-29,TOR,6.0,86
PAL9495,1994-11-29,TOR,12.0,205
PAL9495,1994-11-29,TOR,13.0,256
PAL9495,1994-11-29,TOR,15.0,153
PAL9495,1994-11-29,TOR,17.0,21
PAL9495,1994-11-29,TOR,18.0,265
PAL9495,1994-11-29,TOR,19.0,378
PAL9495,1994-11-29,TOR,20.0,165
PAL9495,1994-11-29,TOR,21.0,137
PAL9495,1994-11-29,TOR,22.0,97
PAL9495,1994-11-29,TOR,23.0,206
PAL9495,1994-11-29,TOR,23.1,28
PAL9495,1994-11-30,HUM,1.1,20
PAL9495,1994-11-30,HUM,1.2,35
PAL9495,1994-11-30,HUM,1.3,10
PAL9495,1994-11-30,HUM,2.1,122
PAL9495,1994-11-30,HUM,2.2,63
PAL9495,1994-11-30,HUM,3.0,253
PAL9495,1994-11-30,HUM,3.1,5
PAL9495,1994-11-30,HUM,4.0,148
PAL9495,1994-11-30,HUM,5.0,320
PAL9495,1994-12-02,LIT,1.0,14
PAL9495,1994-12-02,LIT,2.0,26
PAL9495,1994-12-02,LIT,3.0,0
PAL9495,1994-12-02,LIT,4.0,20
PAL9495,1994-12-02,LIT,5.0,68
PAL9495,1994-12-02,LIT,6.0,98
PAL9495,1994-12-02,LIT,7.0,62
PAL9495,1994-12-02,LIT,8.0,112
PAL9495,1994-12-02,LIT,9.0,25
PAL9495,1994-12-08,COR,1.0,7
PAL9495,1994-12-08,COR,2.0,76
PAL9495,1994-12-08,COR,3.0,32
PAL9495,1994-12-08,COR,4.0,14
PAL9495,1994-12-08,COR,5.0,274
PAL9495,1994-12-08,COR,5.1,133
PAL9495,1994-12-08,COR,6.0,81
PAL9495,1994-12-14,CHR,1.0,180
PAL9495,1994-12-14,CHR,2.0,59
PAL9495,1994-12-14,CHR,3.0,117
PAL9495,1994-12-14,CHR,3.1,0
PAL9495,1994-12-14,CHR,4.1,16
PAL9495,1994-12-14,CHR,4.2,0
PAL9495,1994-12-14,CHR,5.0,33
PAL9495,1994-12-14,CHR,6.0,111
PAL9495,1994-12-14,CHR,7.0,305
PAL9495,1994-12-14,CHR,7.1,19
PAL9495,1994-12-14,CHR,7.2,68
PAL9495,1994-12-14,CHR,8.0,154
PAL9495,1994-12-14,CHR,9.1,29
PAL9495,1994-12-14,CHR,10.0,7
PAL9596,1995-11-21,COR,1.0,8
PAL9596,1995-11-21,COR,2.0,81
PAL9596,1995-11-21,COR,3.0,33
PAL9596,1995-11-21,COR,4.0,17
PAL9596,1995-11-21,COR,5.0,279
PAL9596,1995-11-21,COR,5.1,129
PAL9596,1995-11-21,COR,6.0,72
PAL9596,1995-11-21,HUM,1.1,12
PAL9596,1995-11-21,HUM,1.2,30
PAL9596,1995-11-21,HUM,1.3,4
PAL9596,1995-11-21,HUM,2.1,113
PAL9596,1995-11-21,HUM,2.2,58
PAL9596,1995-11-21,HUM,3.0,255
PAL9596,1995-11-21,HUM,3.1,6
PAL9596,1995-11-21,HUM,4.0,132
PAL9596,1995-11-21,HUM,5.0,287
PAL9596,1995-11-21,LIT,1.0,12
PAL9596,1995-11-21,LIT,2.0,25
PAL9596,1995-11-21,LIT,3.0,0
PAL9596,1995-11-21,LIT,4.0,18
PAL9596,1995-11-21,LIT,5.0,66
PAL9596,1995-11-21,LIT,6.0,95
PAL9596,1995-11-21,LIT,7.0,60
PAL9596,1995-11-21,LIT,8.0,109
PAL9596,1995-11-21,LIT,9.0,25
PAL9596,1995-11-21,TOR,1.0,99
PAL9596,1995-11-21,TOR,2.0,33
PAL9596,1995-11-21,TOR,3.0,20
PAL9596,1995-11-21,TOR,4.0,237
PAL9596,1995-11-21,TOR,5.0,113
PAL9596,1995-11-21,TOR,6.0,72
PAL9596,1995-11-21,TOR,12.0,209
PAL9596,1995-11-21,TOR,13.0,219
PAL9596,1995-11-21,TOR,15.0,146
PAL9596,1995-11-21,TOR,17.0,18
